team,team_code,shirt_number,position,player_text,name_on_shirt,dob,club,height_cm,caps,goals,player_key,shirt_key
Algeria,ALG,1,GK,MASTIL Melvin Melvin Feycal MASTIL MASTIL,MASTIL MASTIL,2000-02-19,FC Stade Nyonnais (SUI),194,2,0,mastil melvin melvin feycal mastil mastil,mastil mastil
Algeria,ALG,2,DF,MANDI Aissa Aissa MANDI MANDI,MANDI MANDI,1991-10-22,Lille OSC (FRA),184,119,8,mandi aissa aissa mandi mandi,mandi mandi
Algeria,ALG,3,DF,ABADA Achref Achref ABADA ABADA,ABADA ABADA,1999-06-15,USM Alger (ALG),185,10,1,abada achref achref abada abada,abada abada
Algeria,ALG,4,DF,TOUGAI Mohamed Amine Mohamed Amine TOUGAI TOUGAI,TOUGAI TOUGAI,2000-01-22,Espérance De Tunisie (TUN),186,30,2,tougai mohamed amine mohamed amine tougai tougai,tougai tougai
Algeria,ALG,5,DF,BELAID Zineddine Zineddine BELAÏD BELAID,BELAÏD BELAID,1999-03-20,JS Kabylie (ALG),186,18,1,belaid zineddine zineddine bela d belaid,bela d belaid
Algeria,ALG,6,MF,ZERROUKI Ramiz Ramiz Larbi ZERROUKI ZERROUKI,ZERROUKI ZERROUKI,1998-05-26,FC Twente (NED),183,53,3,zerrouki ramiz ramiz larbi zerrouki zerrouki,zerrouki zerrouki
Algeria,ALG,7,FW,MAHREZ Riyad Riyad Karim MAHREZ MAHREZ,MAHREZ MAHREZ,1991-02-21,Al Ahli FC (KSA),179,116,38,mahrez riyad riyad karim mahrez mahrez,mahrez mahrez
Algeria,ALG,8,MF,AOUAR Houssem Houssem-Eddine Chaabane AOUAR AOUAR,AOUAR AOUAR,1998-06-30,Al Ittihad (KSA),175,23,6,aouar houssem houssem eddine chaabane aouar aouar,aouar aouar
Algeria,ALG,9,FW,GOUIRI Amine Amine Ferid GHOUIRI GOUIRI,GHOUIRI GOUIRI,2000-02-16,Olympique Marseille (FRA),180,23,10,gouiri amine amine ferid ghouiri gouiri,ghouiri gouiri
Algeria,ALG,10,MF,CHAIBI Fares Fares CHAIBI CHAIBI,CHAIBI CHAIBI,2002-11-28,Eintracht Frankfurt (GER),183,31,3,chaibi fares fares chaibi chaibi,chaibi chaibi
Algeria,ALG,11,FW,HADJ MOUSSA Anis Anis HADJ MOUSSA HADJ MOUSSA,HADJ MOUSSA HADJ MOUSSA,2002-02-11,Feyenoord Rotterdam (NED),176,15,2,hadj moussa anis anis hadj moussa hadj moussa,hadj moussa hadj moussa
Algeria,ALG,12,FW,BENBOUALI Nadhir Ahmed Nadhir BENBOUALI BENBOUALI,BENBOUALI BENBOUALI,2000-04-17,Györi ETO FC (HUN),190,4,1,benbouali nadhir ahmed nadhir benbouali benbouali,benbouali benbouali
Algeria,ALG,13,DF,HADJAM Jaouen Jaouen Djimmy HADJAM HADJAM,HADJAM HADJAM,2003-03-26,BSC Young Boys (SUI),185,18,3,hadjam jaouen jaouen djimmy hadjam hadjam,hadjam hadjam
Algeria,ALG,14,MF,BOUDAOUI Hicham Hicham BOUDAOUI BOUDAOUI,BOUDAOUI BOUDAOUI,1999-09-23,OGC Nice (FRA),175,34,0,boudaoui hicham hicham boudaoui boudaoui,boudaoui boudaoui
Algeria,ALG,15,DF,AIT-NOURI Rayan Rayan AÏT-NOURI AIT NOURI,AÏT-NOURI AIT NOURI,2001-06-06,Manchester City FC (ENG),180,30,0,ait nouri rayan rayan a t nouri ait nouri,a t nouri ait nouri
Algeria,ALG,16,GK,BENBOT Oussama Oussama BENBOT BENBOT,BENBOT BENBOT,1994-10-11,USM Alger (ALG),188,3,0,benbot oussama oussama benbot benbot,benbot benbot
Algeria,ALG,17,DF,BELGHALI Rak Rak BELGHALI BELGHALI,BELGHALI BELGHALI,2002-06-07,Hellas Verona FC (ITA),180,13,1,belghali rak rak belghali belghali,belghali belghali
Algeria,ALG,18,FW,AMOURA Mohamed Mohammed Elamine AMOURA AMOURA,AMOURA AMOURA,2000-05-09,VfL Wolfsburg (GER),170,47,19,amoura mohamed mohammed elamine amoura amoura,amoura amoura
Algeria,ALG,19,MF,BENTALEB Nabil Nabil BENTALEB BENTALEB,BENTALEB BENTALEB,1994-11-24,Lille OSC (FRA),189,60,6,bentaleb nabil nabil bentaleb bentaleb,bentaleb bentaleb
Algeria,ALG,20,FW,BOULBINA Adil Adil BOULBINA BOULBINA,BOULBINA BOULBINA,2003-05-02,Al Duhail SC (QAT),183,11,5,boulbina adil adil boulbina boulbina,boulbina boulbina
Algeria,ALG,21,DF,BENSEBAINI Ramy Amir Selmane Rami BENSEBAINI BENSEBAINI,BENSEBAINI BENSEBAINI,1995-04-16,Borussia Dortmund (GER),187,82,9,bensebaini ramy amir selmane rami bensebaini bensebaini,bensebaini bensebaini
Algeria,ALG,22,MF,MAZA Ibrahim Ibrahim MAZA MAZA,MAZA MAZA,2005-11-24,Bayer 04 Leverkusen (GER),180,17,2,maza ibrahim ibrahim maza maza,maza maza
Algeria,ALG,23,GK,ZIDANE Luca Luca Zinedine ZIDANE ZIDANE,ZIDANE ZIDANE,1998-05-13,Granada CF (ESP),183,7,0,zidane luca luca zinedine zidane zidane,zidane zidane
Algeria,ALG,24,MF,TITRAOUI Yassine Yassine M E G TITRAOUI TITRAOUI,M E G TITRAOUI TITRAOUI,2003-07-26,Sporting Charleroi (BEL),180,5,0,titraoui yassine yassine m e g titraoui titraoui,m e g titraoui titraoui
Algeria,ALG,25,FW,GHEDJEMIS Fares Fares GHEDJEMIS GHEDJEMIS,GHEDJEMIS GHEDJEMIS,2002-09-06,Frosinone (ITA),183,1,1,ghedjemis fares fares ghedjemis ghedjemis,ghedjemis ghedjemis
Algeria,ALG,26,DF,CHERGUI Samir Samir Sophian CHERGUI CHERGUI,CHERGUI CHERGUI,1999-02-06,Paris FC (FRA),185,5,0,chergui samir samir sophian chergui chergui,chergui chergui
Argentina,ARG,1,GK,MUSSO Juan Juan Agustín MUSSO MUSSO,MUSSO MUSSO,1994-05-06,Atlético De Madrid (ESP),193,4,0,musso juan juan agust n musso musso,musso musso
Argentina,ARG,2,DF,BALERDI Leonardo Leonardo Julián BALERDI ROSA BALERDI,BALERDI ROSA BALERDI,1999-01-26,Olympique Marseille (FRA),188,11,0,balerdi leonardo leonardo juli n balerdi rosa balerdi,balerdi rosa balerdi
Argentina,ARG,3,DF,TAGLIAFICO Nicolas Nicolás Alejandro TAGLIAFICO TAGLIAFICO,TAGLIAFICO TAGLIAFICO,1992-08-31,Olympique Lyonnais (FRA),172,76,1,tagliafico nicolas nicol s alejandro tagliafico tagliafico,tagliafico tagliafico
