team,round_of_32_probability,round_of_16_probability,quarter_final_probability,semi_final_probability,final_probability,third_place_match_probability,champion_probability,runner_up_probability
Spain,0.9321,0.7185,0.511,0.37535,0.24705,0.1283,0.148,0.09905
England,0.93925,0.74925,0.5327,0.36445,0.22495,0.1395,0.14485,0.0801
Argentina,0.91115,0.66895,0.53375,0.3522,0.2152,0.137,0.1269,0.0883
France,0.87735,0.7525,0.5239,0.34635,0.21045,0.1359,0.12385,0.0866
Portugal,0.879,0.70245,0.441,0.2731,0.15285,0.12025,0.0758,0.07705
Brazil,0.8587,0.63505,0.39985,0.2178,0.11275,0.10505,0.0599,0.05285
Germany,0.8205,0.63895,0.3577,0.20595,0.1109,0.09505,0.0582,0.0527
Belgium,0.8587,0.68645,0.4311,0.20585,0.10575,0.1001,0.046,0.05975
Netherlands,0.77535,0.5078,0.3063,0.1517,0.0711,0.0806,0.03145,0.03965
Colombia,0.7612,0.511,0.2649,0.12665,0.0565,0.07015,0.023,0.0335
Morocco,0.7459,0.4917,0.27565,0.1308,0.054,0.0768,0.0212,0.0328
Switzerland,0.803,0.55905,0.2485,0.098,0.03995,0.05805,0.0152,0.02475
Japan,0.74565,0.4158,0.2259,0.1019,0.04065,0.06125,0.01495,0.0257
Bosnia & Herzegovina,0.38325,0.27545,0.1284,0.06035,0.0272,0.03315,0.01285,0.01435
Mexico,0.7629,0.51535,0.20015,0.08575,0.03255,0.0532,0.0119,0.02065
Norway,0.6082,0.4734,0.223,0.09745,0.03575,0.0617,0.01155,0.0242
Turkey,0.721,0.48905,0.20545,0.0839,0.0326,0.0513,0.0094,0.0232
Croatia,0.7324,0.45935,0.2032,0.08295,0.03155,0.0514,0.0094,0.02215
Uruguay,0.7364,0.36575,0.1852,0.0803,0.031,0.0493,0.0093,0.0217
Austria,0.65665,0.33895,0.1675,0.06955,0.0268,0.04275,0.0091,0.0177
Ecuador,0.68625,0.43495,0.16965,0.0711,0.02505,0.04605,0.008,0.01705
Czech Republic,0.6507,0.4217,0.14805,0.05025,0.01635,0.0339,0.00485,0.0115
Senegal,0.41285,0.33805,0.1373,0.04725,0.01445,0.0328,0.00445,0.01
Ivory Coast,0.39165,0.26675,0.1004,0.033,0.01145,0.02155,0.0036,0.00785
South Korea,0.4438,0.31595,0.11135,0.03795,0.01235,0.0256,0.0034,0.00895
Iran,0.53245,0.3344,0.10765,0.03015,0.00785,0.0223,0.0021,0.00575
Algeria,0.3572,0.2159,0.0926,0.0303,0.009,0.0213,0.00195,0.00705
Canada,0.66035,0.37635,0.1308,0.0326,0.0085,0.0241,0.00195,0.00655
Scotland,0.30675,0.2381,0.0936,0.02665,0.00675,0.0199,0.00165,0.0051
Egypt,0.531,0.3047,0.08735,0.02355,0.00575,0.0178,0.00145,0.0043
USA,0.5766,0.37935,0.11165,0.02905,0.006,0.02305,0.0013,0.0047
Australia,0.33755,0.20385,0.0592,0.0167,0.0039,0.0128,0.00085,0.00305
Sweden,0.35905,0.2052,0.07005,0.0184,0.00405,0.01435,0.00065,0.0034
Paraguay,0.36485,0.2158,0.058,0.01365,0.0034,0.01025,0.00065,0.00275
DR Congo,0.1818,0.10385,0.0282,0.0075,0.00185,0.00565,0.00015,0.0017
Panama,0.2214,0.09935,0.02425,0.00445,0.00125,0.0032,0.0001,0.00115
Tunisia,0.11995,0.0562,0.01185,0.0016,0.0004,0.0012,5e-05,0.00035
Iraq,0.1016,0.0547,0.00965,0.0015,0.00035,0.00115,5e-05,0.0003
Uzbekistan,0.178,0.08665,0.0191,0.00425,0.00065,0.0036,0.0,0.00065
Cape Verde,0.17005,0.0511,0.01065,0.0022,0.00035,0.00185,0.0,0.00035
Haiti,0.08865,0.034,0.0054,0.001,0.00025,0.00075,0.0,0.00025
South Africa,0.1426,0.07065,0.0107,0.00145,0.0002,0.00125,0.0,0.0002
Saudi Arabia,0.16145,0.05535,0.0102,0.00215,0.0001,0.00205,0.0,0.0001
Ghana,0.10695,0.0342,0.0054,0.001,0.0001,0.0009,0.0,0.0001
Curaçao,0.1016,0.0365,0.0043,0.00055,5e-05,0.0005,0.0,5e-05
Jordan,0.075,0.02455,0.0052,0.0004,5e-05,0.00035,0.0,5e-05
Qatar,0.1534,0.06035,0.00925,0.0008,0.0,0.0008,0.0,0.0
New Zealand,0.07785,0.02675,0.00305,0.0002,0.0,0.0002,0.0,0.0
